case_id,cik,ticker,run_number,uncertainty_rating,score,obs_a_count,obs_b_count,obs_c_count,observations_d_count,prior_word_count,current_word_count,forward_return_3yr
MC-BCC-2022-03-31,0001328581,BCC,1,CAN_ASSESS,2.8,3,0,11,12,6566,7227,0.412
MC-BCC-2022-03-31,0001328581,BCC,2,CAN_ASSESS,3.0,3,0,8,12,6681,7342,0.412
MC-BCC-2022-03-31,0001328581,BCC,3,CAN_ASSESS,2.8,5,0,6,13,6681,7342,0.412
MC-SMG-2020-09-30,0000825542,SMG,1,MARGINAL,3.1,2,0,6,22,8511,8945,-0.662
MC-SMG-2020-09-30,0000825542,SMG,2,MARGINAL,3.3,2,0,5,22,11786,11890,-0.662
MC-SMG-2020-09-30,0000825542,SMG,3,MARGINAL,3.3,2,0,6,21,8650,9250,-0.662
MC-EPRT-2022-03-31,0001728951,EPRT,1,CAN_ASSESS,3.7,6,2,10,38,15634,16465,0.2901
MC-EPRT-2022-03-31,0001728951,EPRT,2,CAN_ASSESS,3.4,1,1,1,38,14800,16100,0.2901
MC-HWC-2020-09-30,0000750577,HWC,1,CAN_ASSESS,2.0,12,4,6,22,9041,10288,0.9665
MC-HWC-2020-09-30,0000750577,HWC,3,CAN_ASSESS,2.0,8,0,7,19,8200,9100,0.9665
MC-AGX-2020-09-30,0000100591,AGX,1,CAN_ASSESS,2.0,5,2,8,16,11850,12890,0.0861
MC-AGX-2020-09-30,0000100591,AGX,2,CAN_ASSESS,2.0,1,1,1,22,12343,13111,0.0861
MC-RYN-2020-09-30,0000052827,RYN,1,CAN_ASSESS,2.3,4,0,6,11,5411,5963,0.0764
MC-RYN-2020-09-30,0000052827,RYN,2,CAN_ASSESS,2.5,4,2,7,12,5411,5963,0.0764
MC-FNMA-2020-09-30,0000310522,FNMA,1,CAN_ASSESS,2.8,8,6,10,10,15446,16623,-0.6931
MC-FNMA-2020-09-30,0000310522,FNMA,2,CAN_ASSESS,2.8,8,3,10,12,15411,16584,-0.6931
MC-HALO-2022-03-31,0001159036,HALO,1,MARGINAL,2.8,1,1,1,25,12292,12267,0.6001
MC-HALO-2022-03-31,0001159036,HALO,2,MARGINAL,3.2,1,1,1,27,10900,10650,0.6001
MC-HALO-2022-03-31,0001159036,HALO,3,MARGINAL,3.2,1,1,1,26,8500,8400,0.6001
MC-CXW-2020-09-30,0001070985,CXW,1,CAN_ASSESS,2.0,4,3,10,25,10400,11600,0.4063
MC-CXW-2020-09-30,0001070985,CXW,2,CAN_ASSESS,2.0,1,1,1,35,11400,12800,0.4063
MC-CXW-2020-09-30,0001070985,CXW,3,CAN_ASSESS,2.0,1,1,1,27,10950,12100,0.4063
MC-CMSA-2020-09-30,0000811156,CMSA,1,MARGINAL,3.2,0,1,8,15,7147,6540,-0.1491
MC-CMSA-2020-09-30,0000811156,CMSA,2,MARGINAL,3.2,0,1,8,14,7950,7150,-0.1491
MC-CMSA-2020-09-30,0000811156,CMSA,3,MARGINAL,3.2,0,1,1,13,5200,4800,-0.1491
MC-MFA-PB-2020-09-30,0001055160,MFA-PB,1,CAN_ASSESS,2.5,1,1,1,27,18200,18500,-0.0925
MC-MFA-PB-2020-09-30,0001055160,MFA-PB,2,MARGINAL,2.7,2,2,13,28,23679,23770,-0.0925
MC-MFA-PB-2020-09-30,0001055160,MFA-PB,3,MARGINAL,2.8,2,3,10,28,18200,18600,-0.0925
MC-ST-2020-09-30,0001477294,ST,1,MARGINAL,2.5,6,3,6,19,10150,10450,-0.1233
MC-ST-2020-09-30,0001477294,ST,2,MARGINAL,2.7,6,2,6,20,9450,9200,-0.1233
