case_id,ticker,cik,entry_date,sector,market_cap_at_entry,outcome_class,forward_return_3yr,sp500_return_3yr,current_item1a_word_count,prior_item1a_word_count,uncertainty_majority,score_median,obs_a_count_run1,obs_b_count_run1,obs_c_count_run1,observations_d_count_run1,prior_word_count_agent,current_word_count_agent
MC-STAG-2022-03-31,STAG,0001479094,2022-03-31,,6776032389,trap,-0.1265,0.28,11913,11735,MARGINAL,3.2,1,1,1,30,11748,11932
MC-ADC-2022-03-31,ADC,0000917251,2022-03-31,,7979303816,underperform,0.1632,0.28,11162,11557,MARGINAL,3.4,0,1,1,25,11881,11486
MC-IDA-2022-03-31,IDA,0001057877,2022-03-31,,7534111434,underperform,0.0075,0.28,13393,12493,CAN_ASSESS,2.5,1,0,1,8,12825,13810
MC-MDU-2022-03-31,MDU,0000067716,2022-03-31,,4215351866,winner,0.6693,0.28,17243,17015,CANNOT_ASSESS,N/A,5,0,0,20,17139,17386
MC-AXTA-2022-03-31,AXTA,0001616862,2022-03-31,,5968401177,mixed,0.3495,0.28,12275,13610,CAN_ASSESS,2.8,1,1,1,18,13622,12293
MC-MMS-2022-03-31,MMS,0001032220,2022-03-31,,3737324211,trap,-0.0902,0.28,7251,5900,CAN_ASSESS,2.2,1,1,1,14,5915,7269
MC-COF-PJ-2022-03-31,COF-PJ,0000927628,2022-03-31,,6734247088,trap,-0.1777,0.28,25524,25117,CAN_ASSESS,3.3,1,1,1,15,25131,25543
MC-AL-2022-03-31,AL,0001487712,2022-03-31,,7208312068,underperform,0.082,0.28,18986,19037,CAN_ASSESS,3.6,3,3,5,18,10800,10200
MC-OPLN-2020-09-30,OPLN,0001395942,2020-09-30,,2867347007,underperform,0.0361,0.3,10228,11624,CAN_ASSESS,3.2,5,10,10,14,14200,12800
MC-HRI-2020-09-30,HRI,0001364479,2020-09-30,,2982986553,winner,2.0028,0.3,10979,10731,MARGINAL,3.0,4,1,9,20,11200,12100
MC-ABR-PD-2022-03-31,ABR-PD,0001253986,2022-03-31,,3246227720,trap,-0.2169,0.28,17336,16912,CANNOT_ASSESS,N/A,4,0,5,28,14500,14600
MC-UE-2020-09-30,UE,0001611547,2020-09-30,,2530527524,winner,0.57,0.3,10456,11587,CANNOT_ASSESS,N/A,1,0,10,27,11400,11300
MC-AVNT-2022-03-31,AVNT,0001122976,2022-03-31,,3312847355,trap,-0.2258,0.28,5618,6389,CAN_ASSESS,3.8,2,2,10,8,3800,3700
MC-CVSA-2022-03-31,CVSA,0000730464,2022-03-31,,4337251911,winner,2.3874,0.28,19085,13772,CAN_ASSESS,1.8,7,2,4,22,14800,17200
MC-FHB-2022-03-31,FHB,0000036377,2022-03-31,,3108739081,trap,-0.1237,0.28,17966,17841,CAN_ASSESS,2.5,5,3,7,28,14100,14500
MC-IVT-2022-03-31,IVT,0001307748,2022-03-31,,2362538418,trap,-0.0458,0.28,9477,22367,CAN_ASSESS,4.2,4,5,7,12,12500,7800
MC-TRMK-2020-09-30,TRMK,0000036146,2020-09-30,,2570370917,underperform,0.0149,0.3,7729,7281,MARGINAL,3.0,1,4,8,18,9200,9400
MC-LRN-2020-09-30,LRN,0001157408,2020-09-30,,3826007905,winner,0.7096,0.3,29927,28904,CAN_ASSESS,2.5,1,1,1,35,12314,12631
MC-CXT-2020-09-30,CXT,0000025445,2020-09-30,,2370155216,winner,2.1918,0.3,9397,9445,CAN_ASSESS,2.0,1,1,1,14,5889,5926
MC-ADAML-2022-03-31,ADAML,0001273685,2022-03-31,,2131957738,trap,-0.0565,0.28,24432,23989,MARGINAL,3.2,1,1,1,40,23989,24432
MC-MAA-PI-2020-09-30,MAA-PI,0000912595,2020-09-30,,6334124110,trap,-0.1679,0.3,14586,14218,MARGINAL,2.8,1,1,1,30,11173,11563
MC-SR-2020-09-30,SR,0001126956,2020-09-30,,5314722261,underperform,0.0635,0.3,7874,8077,MARGINAL,2.8,1,1,1,33,8077,7874
MC-CTRE-2022-03-31,CTRE,0001590717,2022-03-31,,6994158838,winner,0.4808,0.28,13623,14363,MARGINAL,3.3,0,1,1,35,14363,13623
MC-HRI-2022-03-31,HRI,0001364479,2022-03-31,,2982986553,trap,-0.1964,0.28,9557,8874,CAN_ASSESS,2.5,1,1,1,19,8874,9557
MC-IMAX-2022-03-31,IMAX,0000921582,2022-03-31,,2001659435,mixed,0.392,0.28,10867,8783,CAN_ASSESS,2.0,1,1,1,17,8789,10873
MC-CHEF-2022-03-31,CHEF,0001517175,2022-03-31,,2434600099,winner,0.6706,0.28,11900,12092,CANNOT_ASSESS,N/A,0,0,0,42,12092,11900
MC-NJR-2022-03-31,NJR,0000356309,2022-03-31,,5482822517,underperform,0.0698,0.28,8269,7574,CAN_ASSESS,3.5,0,1,1,38,7574,8275
MC-SHO-PI-2022-03-31,SHO-PI,0001295810,2022-03-31,,3642466206,trap,-0.1888,0.28,21179,21645,CAN_ASSESS,3.7,1,1,1,32,16800,16200
MC-HUN-2020-09-30,HUN,0001307954,2020-09-30,,2170947263,underperform,0.0986,0.3,20734,23050,MARGINAL,3.3,1,1,1,40,44000,42000
MC-SXI-2022-03-31,SXI,0000310354,2022-03-31,,3040197452,winner,0.6152,0.28,4435,4309,MARGINAL,3.0,1,0,1,17,5200,5500
MC-TXNM-2022-03-31,TXNM,0001108426,2022-03-31,,5397406264,underperform,0.1219,0.28,10848,11206,CAN_ASSESS,1.8,1,1,1,14,13500,13200
MC-ONB-2022-03-31,ONB,0000707179,2022-03-31,,6931326604,mixed,0.2937,0.28,9369,11659,CAN_ASSESS,2.2,1,1,0,0,19000,10500
MC-BANC-2020-09-30,BANC,0001169770,2020-09-30,,2747452422,mixed,0.2233,0.3,22000,26790,CAN_ASSESS,2.5,1,1,1,22,11500,12500
MC-FBK-2020-09-30,FBK,0001649749,2020-09-30,,2425864812,underperform,0.129,0.3,15664,14479,CAN_ASSESS,2.3,1,1,1,35,23500,24500
MC-VSAT-2022-03-31,VSAT,0000797721,2022-03-31,,6175809310,trap,-0.7865,0.28,12231,14722,CAN_ASSESS,3.8,1,1,1,28,26000,22500
MC-LEA-2022-03-31,LEA,0000842162,2022-03-31,,6541078693,trap,-0.3813,0.28,6728,6311,CAN_ASSESS,2.5,1,1,1,15,6800,7600
MC-KNSL-2022-03-31,KNSL,0001669162,2022-03-31,,7804444967,winner,1.1345,0.28,9498,9743,MARGINAL,3.5,0,0,1,28,13000,13100
